Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career
Matric,Business,"Counseling, Financial Analysis, SQL",Digital Marketing,66,Junior Accountant
Matric,Science,"Marketing, Machine Learning",Digital Marketing,85,Software Engineer
PhD,Finance,Financial Analysis,CFA Level 1,63,Marketing Executive
PhD,Computer Science,Machine Learning,CFA Level 1,78,Junior Accountant
Intermediate,Commerce,"Python, Data Analysis",Tally ERP,93,School Counselor
Bachelor's,Commerce,"Machine Learning, Accounting",Mental Health Basics,72,Junior Accountant
Matric,Finance,"MS Office, Communication, Python",Google Data Analytics,73,Junior Accountant
Intermediate,Finance,Python,Google Data Analytics,85,Software Engineer
Bachelor's,Business,MS Office,CFA Level 1,67,School Counselor
Master's,Finance,"Data Analysis, Machine Learning, Python",Tally ERP,75,Business Analyst
PhD,Finance,Machine Learning,None,64,ML Engineer
Master's,Science,"Accounting, MS Office, Data Analysis",AWS Certified,60,Research Scientist
PhD,Science,"Python, Accounting",CFA Level 1,82,Marketing Executive
Intermediate,Engineering,Financial Analysis,None,62,Sales Assistant
Bachelor's,Science,"MS Office, Counseling, Communication",Mental Health Basics,88,ML Engineer
Master's,Arts,"Communication, MS Office, Counseling",None,60,Financial Analyst
Matric,Arts,"Counseling, Data Analysis, SQL",None,70,School Counselor
Bachelor's,Psychology,"Python, Machine Learning",Google Data Analytics,83,Junior Accountant
Bachelor's,Business,Data Analysis,Google Data Analytics,94,Data Entry Operator
Bachelor's,Engineering,"Data Analysis, SQL",Google Data Analytics,60,Software Engineer
Matric,Psychology,"Marketing, Counseling, Data Analysis",Creative Writing,90,Clerk
Bachelor's,Arts,"Marketing, Accounting, Financial Analysis",AWS Certified,93,Sales Assistant
Matric,Computer Science,"Communication, Counseling, Marketing",AWS Certified,64,Data Entry Operator
Matric,Commerce,"Counseling, Data Analysis, Financial Analysis",None,72,Clerk
Master's,Finance,"SQL, MS Office",Tally ERP,68,Research Scientist
Master's,Business,Communication,CFA Level 1,94,Clerk
Matric,Psychology,"Counseling, Communication",Google Data Analytics,73,Sales Assistant
PhD,Psychology,"Accounting, Python",Creative Writing,95,Data Entry Operator
PhD,Engineering,"Data Analysis, Counseling",AWS Certified,69,Marketing Executive
Intermediate,Finance,"Python, Accounting, Machine Learning",CFA Level 1,62,Sales Assistant
Master's,Engineering,"Communication, SQL",Tally ERP,78,Clerk
Bachelor's,Arts,Counseling,Digital Marketing,63,ML Engineer
Matric,Business,"Python, Accounting, Marketing",Creative Writing,76,Professor
Matric,Arts,"MS Office, Financial Analysis",Google Data Analytics,87,Data Entry Operator
Matric,Psychology,"Marketing, SQL, Python",CFA Level 1,85,School Counselor
Matric,Psychology,"Python, Accounting",Mental Health Basics,68,Software Engineer
Matric,Commerce,"Communication, Python",Google Data Analytics,77,Software Engineer
Master's,Engineering,"Accounting, Counseling, Communication",Mental Health Basics,78,Financial Analyst
Master's,Business,"Data Analysis, Marketing",Tally ERP,64,School Counselor
Master's,Arts,Python,CFA Level 1,93,Software Engineer
Matric,Commerce,Accounting,Tally ERP,69,Research Scientist
Master's,Psychology,"SQL, Data Analysis, Accounting",Creative Writing,91,Data Entry Operator
Bachelor's,Business,Financial Analysis,Digital Marketing,89,ML Engineer
Master's,Commerce,"MS Office, Communication",CFA Level 1,62,Business Analyst
Master's,Business,Accounting,Google Data Analytics,70,Business Analyst
PhD,Commerce,Financial Analysis,Mental Health Basics,68,Research Scientist
PhD,Computer Science,Marketing,None,90,Marketing Executive
Matric,Science,Python,Digital Marketing,61,Data Entry Operator
Master's,Arts,"MS Office, Communication",Mental Health Basics,76,Sales Assistant
PhD,Arts,"MS Office, Accounting, Data Analysis",Tally ERP,65,Financial Analyst
Matric,Finance,"Counseling, MS Office",CFA Level 1,66,School Counselor
Master's,Commerce,"Data Analysis, Communication, Machine Learning",Tally ERP,66,Business Analyst
Intermediate,Computer Science,"Machine Learning, Marketing",Digital Marketing,86,Data Entry Operator
Master's,Psychology,Counseling,Tally ERP,88,Data Entry Operator
Bachelor's,Finance,MS Office,None,75,Clerk
Intermediate,Finance,"Communication, SQL",Digital Marketing,65,Sales Assistant
Intermediate,Business,"Counseling, Financial Analysis, Python",Tally ERP,94,Junior Accountant
Master's,Computer Science,Python,Creative Writing,95,Research Scientist
Intermediate,Arts,"Counseling, Python",Google Data Analytics,74,Business Analyst
Matric,Commerce,"Data Analysis, Counseling",Google Data Analytics,64,Data Entry Operator
Intermediate,Engineering,Machine Learning,AWS Certified,85,Business Analyst
Master's,Science,"Accounting, Machine Learning, Counseling",Creative Writing,64,Data Entry Operator
PhD,Science,Python,Google Data Analytics,61,ML Engineer
PhD,Finance,"Machine Learning, Counseling, Data Analysis",Digital Marketing,67,Research Scientist
Master's,Engineering,"Data Analysis, MS Office",Tally ERP,68,School Counselor
Matric,Computer Science,Marketing,Tally ERP,85,School Counselor
Master's,Commerce,Python,AWS Certified,92,Marketing Executive
Master's,Business,SQL,Mental Health Basics,74,Marketing Executive
PhD,Business,"Financial Analysis, Python, MS Office",None,69,Junior Accountant
Bachelor's,Commerce,Financial Analysis,Mental Health Basics,91,ML Engineer
Intermediate,Engineering,"Communication, Counseling, Marketing",CFA Level 1,86,School Counselor
Bachelor's,Commerce,Counseling,Digital Marketing,81,Junior Accountant
Master's,Business,Marketing,Mental Health Basics,68,Professor
PhD,Engineering,"MS Office, Python",CFA Level 1,80,Sales Assistant
PhD,Computer Science,Accounting,Digital Marketing,89,Data Entry Operator
Master's,Commerce,"Data Analysis, Python, Accounting",Creative Writing,95,Business Analyst
Matric,Computer Science,"Counseling, Communication",AWS Certified,82,Business Analyst
Intermediate,Finance,"Communication, Marketing, Machine Learning",Digital Marketing,82,Financial Analyst
PhD,Finance,Accounting,Tally ERP,72,Data Entry Operator
Bachelor's,Science,"Data Analysis, Financial Analysis",Tally ERP,63,Junior Accountant
PhD,Finance,"Communication, Counseling",Digital Marketing,92,Sales Assistant
Bachelor's,Science,Marketing,Creative Writing,90,Sales Assistant
Master's,Commerce,"Counseling, SQL",Tally ERP,95,Data Entry Operator
Master's,Commerce,MS Office,AWS Certified,72,ML Engineer
PhD,Computer Science,Communication,Digital Marketing,71,Software Engineer
Bachelor's,Business,"Counseling, Accounting",CFA Level 1,95,Research Scientist
Matric,Business,"Counseling, SQL",Digital Marketing,87,Financial Analyst
Matric,Science,Counseling,Mental Health Basics,72,Sales Assistant
Master's,Business,"Marketing, Communication, Python",AWS Certified,85,Clerk
Matric,Computer Science,Communication,CFA Level 1,83,Financial Analyst
Master's,Psychology,"Counseling, Financial Analysis",Mental Health Basics,85,Marketing Executive
Intermediate,Arts,"Machine Learning, Data Analysis",Google Data Analytics,71,Sales Assistant
Bachelor's,Finance,"Financial Analysis, Accounting",None,66,Software Engineer
Master's,Business,"SQL, Communication",Tally ERP,81,Clerk
Bachelor's,Engineering,"Machine Learning, SQL",None,66,School Counselor
Bachelor's,Science,"SQL, Marketing",AWS Certified,84,Business Analyst
Bachelor's,Commerce,Financial Analysis,None,68,Sales Assistant
Intermediate,Engineering,"Financial Analysis, Communication",AWS Certified,90,Financial Analyst
Intermediate,Arts,"Machine Learning, Marketing, SQL",Mental Health Basics,79,Financial Analyst
PhD,Commerce,"Marketing, Data Analysis",Digital Marketing,66,Junior Accountant
PhD,Engineering,Communication,Tally ERP,73,Data Entry Operator
Bachelor's,Computer Science,SQL,Digital Marketing,72,ML Engineer
PhD,Business,Machine Learning,Google Data Analytics,87,Professor
Bachelor's,Engineering,"Accounting, Communication, Counseling",CFA Level 1,94,Sales Assistant
Intermediate,Computer Science,"MS Office, Python, Accounting",Digital Marketing,90,School Counselor
PhD,Business,"Python, SQL, Data Analysis",Creative Writing,71,Financial Analyst
Master's,Finance,Python,None,63,Marketing Executive
Intermediate,Business,Accounting,Creative Writing,81,Professor
Intermediate,Finance,"Counseling, Communication",CFA Level 1,61,Clerk
Matric,Finance,"Accounting, SQL",Tally ERP,80,Marketing Executive
Master's,Commerce,Marketing,Digital Marketing,78,Junior Accountant
Master's,Arts,"Accounting, Data Analysis",CFA Level 1,94,School Counselor
PhD,Business,Communication,Tally ERP,77,Software Engineer
Intermediate,Computer Science,Communication,Google Data Analytics,91,Marketing Executive
Intermediate,Science,"Counseling, Python",Google Data Analytics,86,Research Scientist
Bachelor's,Psychology,SQL,Google Data Analytics,65,Data Entry Operator
Intermediate,Business,Machine Learning,Google Data Analytics,69,Professor
Intermediate,Computer Science,Communication,Mental Health Basics,64,Professor
Matric,Psychology,"Accounting, SQL, Financial Analysis",Digital Marketing,93,Research Scientist
Master's,Psychology,"Accounting, Machine Learning",Tally ERP,63,Financial Analyst
Matric,Engineering,"Machine Learning, Python",None,75,Marketing Executive
Matric,Computer Science,Accounting,Mental Health Basics,68,Business Analyst
Intermediate,Science,Communication,Google Data Analytics,84,Financial Analyst
Bachelor's,Science,Financial Analysis,CFA Level 1,71,School Counselor
PhD,Business,Python,AWS Certified,90,Research Scientist
PhD,Science,"Counseling, Data Analysis, SQL",Creative Writing,61,Research Scientist
Intermediate,Engineering,"Data Analysis, MS Office, Financial Analysis",AWS Certified,76,Financial Analyst
Intermediate,Finance,"Python, SQL",CFA Level 1,72,Marketing Executive
Bachelor's,Engineering,Python,Digital Marketing,71,School Counselor
Master's,Commerce,Financial Analysis,AWS Certified,84,Software Engineer
PhD,Science,"Python, Counseling, Marketing",Creative Writing,87,Professor
Bachelor's,Commerce,Marketing,CFA Level 1,71,Research Scientist
Master's,Computer Science,"MS Office, SQL",Tally ERP,91,School Counselor
Master's,Business,"Financial Analysis, Python, MS Office",Mental Health Basics,91,Professor
Master's,Business,"SQL, Python, Counseling",CFA Level 1,81,Software Engineer
Intermediate,Arts,"Communication, Python, SQL",CFA Level 1,69,School Counselor
Master's,Science,Counseling,CFA Level 1,63,Junior Accountant
Bachelor's,Computer Science,"Data Analysis, Counseling",Tally ERP,83,Data Entry Operator
Master's,Arts,Financial Analysis,None,82,Research Scientist
Intermediate,Finance,"Machine Learning, MS Office, Financial Analysis",Digital Marketing,72,Research Scientist
Matric,Business,SQL,AWS Certified,63,Data Entry Operator
Master's,Finance,SQL,None,86,Marketing Executive
Matric,Science,"Python, MS Office, Accounting",Tally ERP,64,Marketing Executive
Master's,Psychology,Machine Learning,Mental Health Basics,71,School Counselor
Bachelor's,Psychology,Python,Google Data Analytics,76,Marketing Executive
Matric,Business,"Financial Analysis, Marketing, Machine Learning",AWS Certified,84,Sales Assistant
Master's,Finance,"Financial Analysis, Counseling, Marketing",Mental Health Basics,93,Marketing Executive
Intermediate,Psychology,"Data Analysis, Counseling, Python",Digital Marketing,65,ML Engineer
Intermediate,Computer Science,"Marketing, Machine Learning",Creative Writing,60,Professor
Master's,Science,"Communication, MS Office",AWS Certified,69,Marketing Executive
Matric,Psychology,"MS Office, Marketing",Creative Writing,62,Professor
Matric,Business,Machine Learning,Digital Marketing,61,Professor
Master's,Computer Science,"Communication, MS Office, Financial Analysis",Google Data Analytics,89,Software Engineer
Matric,Finance,"Financial Analysis, Marketing, SQL",CFA Level 1,87,Junior Accountant
PhD,Psychology,"Machine Learning, Communication, Counseling",Google Data Analytics,64,Data Entry Operator
Master's,Psychology,"Communication, Python",Creative Writing,90,Data Entry Operator
Matric,Business,"Data Analysis, Counseling",AWS Certified,67,Data Entry Operator
Master's,Science,Counseling,Tally ERP,68,Research Scientist
PhD,Commerce,Machine Learning,Tally ERP,80,ML Engineer
Matric,Business,"Accounting, Marketing",CFA Level 1,88,Junior Accountant
Matric,Finance,"SQL, Marketing",AWS Certified,60,Data Entry Operator
Bachelor's,Business,Data Analysis,Mental Health Basics,66,Marketing Executive
Master's,Engineering,Counseling,None,66,Sales Assistant
Bachelor's,Science,Data Analysis,CFA Level 1,83,Software Engineer
Bachelor's,Commerce,"Machine Learning, SQL, Data Analysis",Google Data Analytics,72,Data Entry Operator
PhD,Psychology,Accounting,None,89,Clerk
PhD,Computer Science,"Financial Analysis, SQL, Counseling",Mental Health Basics,92,Junior Accountant
Master's,Computer Science,"Communication, Data Analysis",CFA Level 1,79,ML Engineer
Matric,Arts,"Machine Learning, MS Office, SQL",AWS Certified,88,Research Scientist
PhD,Finance,Financial Analysis,Mental Health Basics,90,Clerk
PhD,Engineering,"Counseling, MS Office, Accounting",Creative Writing,80,Sales Assistant
Master's,Commerce,MS Office,Mental Health Basics,85,Software Engineer
PhD,Engineering,"Financial Analysis, Communication, Marketing",Creative Writing,80,Junior Accountant
Master's,Computer Science,Counseling,Creative Writing,83,Research Scientist
Master's,Arts,Communication,CFA Level 1,69,School Counselor
Master's,Computer Science,"Machine Learning, SQL, Marketing",Mental Health Basics,84,Professor
Master's,Arts,"Machine Learning, Accounting",CFA Level 1,68,Sales Assistant
PhD,Science,MS Office,AWS Certified,75,ML Engineer
Master's,Psychology,Data Analysis,Tally ERP,83,Business Analyst
Matric,Finance,Financial Analysis,AWS Certified,91,Sales Assistant
Bachelor's,Science,"Communication, Counseling",CFA Level 1,92,Professor
PhD,Science,"Marketing, MS Office",None,65,Clerk
Bachelor's,Psychology,"MS Office, Accounting, Machine Learning",Digital Marketing,66,Financial Analyst
Intermediate,Engineering,Machine Learning,Tally ERP,85,Data Entry Operator
Matric,Engineering,"Data Analysis, Marketing, Communication",Google Data Analytics,84,Financial Analyst
Master's,Science,Machine Learning,Mental Health Basics,93,ML Engineer
PhD,Business,Accounting,Tally ERP,83,Marketing Executive
PhD,Business,"Machine Learning, Python",Digital Marketing,74,Clerk
Master's,Arts,"SQL, Communication",AWS Certified,90,Software Engineer
Bachelor's,Science,"Python, SQL",Tally ERP,65,Data Entry Operator
PhD,Business,"Python, Machine Learning, Communication",AWS Certified,76,ML Engineer
Matric,Engineering,"Data Analysis, Python, Marketing",Creative Writing,81,Financial Analyst
PhD,Arts,Financial Analysis,CFA Level 1,68,Sales Assistant
PhD,Business,"Machine Learning, SQL, Python",Google Data Analytics,94,Marketing Executive
Intermediate,Computer Science,"Marketing, Counseling",None,70,Financial Analyst
PhD,Business,"Marketing, MS Office, Machine Learning",Digital Marketing,80,Sales Assistant
Intermediate,Commerce,Marketing,None,62,Marketing Executive
Matric,Psychology,"Data Analysis, MS Office, SQL",Creative Writing,65,Software Engineer
Matric,Psychology,Machine Learning,Google Data Analytics,75,Professor
Intermediate,Science,"Communication, Data Analysis, Machine Learning",Creative Writing,68,ML Engineer
Matric,Commerce,"Counseling, MS Office, Financial Analysis",AWS Certified,88,Marketing Executive
Bachelor's,Commerce,"Python, SQL, Machine Learning",Digital Marketing,72,Marketing Executive
PhD,Finance,"Communication, SQL, Machine Learning",Tally ERP,90,ML Engineer
Master's,Computer Science,"Counseling, MS Office, SQL",Google Data Analytics,87,Junior Accountant
Matric,Engineering,MS Office,Tally ERP,61,Data Entry Operator
Intermediate,Arts,"Data Analysis, SQL, Machine Learning",Creative Writing,72,Marketing Executive
Matric,Arts,"Python, Marketing",Digital Marketing,62,Marketing Executive
PhD,Finance,Marketing,Google Data Analytics,61,Software Engineer
Matric,Science,"Counseling, MS Office, Financial Analysis",Digital Marketing,94,Research Scientist
Matric,Commerce,"Communication, Counseling",Digital Marketing,87,Financial Analyst
Bachelor's,Engineering,"Communication, Python, Machine Learning",AWS Certified,79,Professor
Master's,Arts,"Communication, Accounting",Mental Health Basics,88,Clerk
Master's,Science,"Financial Analysis, Machine Learning",AWS Certified,69,Software Engineer
Bachelor's,Finance,Accounting,Digital Marketing,63,Professor
Master's,Commerce,MS Office,AWS Certified,90,ML Engineer
Master's,Finance,"Counseling, Machine Learning, SQL",CFA Level 1,90,School Counselor
Bachelor's,Commerce,Python,Tally ERP,86,School Counselor
Matric,Business,MS Office,Google Data Analytics,95,Research Scientist
Matric,Commerce,"Python, Counseling",None,88,School Counselor
Bachelor's,Computer Science,"Machine Learning, Communication",Mental Health Basics,91,Research Scientist
PhD,Finance,"MS Office, Machine Learning",AWS Certified,84,Marketing Executive
Bachelor's,Business,"Counseling, Marketing, Communication",None,82,Sales Assistant
Bachelor's,Finance,"SQL, Financial Analysis",Mental Health Basics,62,ML Engineer
Bachelor's,Commerce,Python,Mental Health Basics,73,Sales Assistant
Intermediate,Computer Science,"Communication, SQL, Accounting",CFA Level 1,74,Business Analyst
PhD,Computer Science,Communication,Mental Health Basics,63,School Counselor
Matric,Business,"Data Analysis, Python, Accounting",Digital Marketing,86,School Counselor
Bachelor's,Arts,"Marketing, Accounting, SQL",None,71,Marketing Executive
Bachelor's,Arts,"SQL, Communication, Marketing",Creative Writing,75,School Counselor
Bachelor's,Computer Science,MS Office,Mental Health Basics,71,Research Scientist
Master's,Engineering,"Communication, MS Office, Data Analysis",None,60,Software Engineer
Master's,Business,"Marketing, Python",Mental Health Basics,66,Junior Accountant
Bachelor's,Business,"Data Analysis, Communication, Marketing",Tally ERP,86,ML Engineer
Matric,Engineering,Communication,None,77,Clerk
Master's,Finance,Financial Analysis,Google Data Analytics,69,Business Analyst
Matric,Psychology,"Python, MS Office, Communication",Google Data Analytics,85,Junior Accountant
Intermediate,Science,"SQL, Python, MS Office",CFA Level 1,93,Business Analyst
PhD,Engineering,Communication,Mental Health Basics,84,Clerk
Intermediate,Finance,Python,AWS Certified,63,Software Engineer
Master's,Psychology,"MS Office, Data Analysis, Communication",None,95,Professor
Bachelor's,Science,"Accounting, Machine Learning",None,87,Software Engineer
Bachelor's,Science,Accounting,Creative Writing,81,Business Analyst
Master's,Business,Financial Analysis,None,65,Junior Accountant
Intermediate,Engineering,"Marketing, Data Analysis",Creative Writing,76,Software Engineer
Master's,Science,"Marketing, Accounting, MS Office",AWS Certified,66,ML Engineer
Matric,Business,"Data Analysis, Python, MS Office",Google Data Analytics,83,Data Entry Operator
Master's,Computer Science,"Financial Analysis, Marketing, SQL",CFA Level 1,79,Clerk
PhD,Commerce,"Accounting, Python, Communication",AWS Certified,61,Software Engineer
Intermediate,Science,"MS Office, Counseling",Mental Health Basics,80,Research Scientist
Master's,Commerce,"Financial Analysis, Marketing, Accounting",CFA Level 1,75,Sales Assistant
PhD,Psychology,"Python, Marketing, Machine Learning",AWS Certified,63,Professor
PhD,Psychology,Counseling,None,60,Sales Assistant
Matric,Finance,"SQL, Counseling",AWS Certified,66,Clerk
Bachelor's,Science,"MS Office, Counseling",Mental Health Basics,86,Junior Accountant
Matric,Arts,"Data Analysis, Communication",Google Data Analytics,91,ML Engineer
Intermediate,Arts,Accounting,Tally ERP,82,Research Scientist
Intermediate,Computer Science,"Communication, Data Analysis, Accounting",Google Data Analytics,64,ML Engineer
Bachelor's,Psychology,"Communication, Financial Analysis, Python",AWS Certified,71,Marketing Executive
Bachelor's,Business,"Data Analysis, Machine Learning, Python",Digital Marketing,73,Clerk
Intermediate,Engineering,Python,Mental Health Basics,83,Data Entry Operator
PhD,Computer Science,Machine Learning,CFA Level 1,70,ML Engineer
PhD,Commerce,"Communication, Python",None,73,Clerk
Intermediate,Science,"Data Analysis, Marketing, MS Office",Creative Writing,68,Junior Accountant
Intermediate,Commerce,"Data Analysis, Communication, SQL",CFA Level 1,68,Software Engineer
Master's,Science,"Accounting, MS Office",Google Data Analytics,67,Clerk
PhD,Business,Python,Mental Health Basics,77,Clerk
Matric,Science,"MS Office, Python",Creative Writing,92,Business Analyst
Master's,Computer Science,"Counseling, Financial Analysis, Machine Learning",CFA Level 1,78,Business Analyst
PhD,Engineering,MS Office,AWS Certified,76,ML Engineer
Matric,Psychology,"MS Office, Accounting",None,93,Sales Assistant
Intermediate,Psychology,"Marketing, Machine Learning, SQL",AWS Certified,82,Junior Accountant
PhD,Finance,Communication,Mental Health Basics,85,Sales Assistant
Bachelor's,Arts,"Machine Learning, Data Analysis",CFA Level 1,93,Junior Accountant
Matric,Commerce,SQL,Google Data Analytics,87,Clerk
PhD,Engineering,MS Office,None,80,Junior Accountant
Intermediate,Psychology,MS Office,None,90,ML Engineer
Matric,Psychology,Machine Learning,Google Data Analytics,69,Marketing Executive
Bachelor's,Commerce,Python,Mental Health Basics,62,Clerk
Master's,Finance,Counseling,Google Data Analytics,79,Clerk
Intermediate,Science,"Python, Data Analysis",Tally ERP,90,School Counselor
Intermediate,Arts,"Data Analysis, SQL, MS Office",None,79,Financial Analyst
Master's,Engineering,"Python, MS Office",CFA Level 1,93,Data Entry Operator
PhD,Engineering,"Communication, Marketing",AWS Certified,62,Marketing Executive
Intermediate,Engineering,MS Office,Tally ERP,65,Financial Analyst
PhD,Psychology,"Python, Marketing",CFA Level 1,91,Financial Analyst
Master's,Finance,"Financial Analysis, Machine Learning",AWS Certified,73,Business Analyst
Matric,Arts,"Accounting, Data Analysis, Counseling",Google Data Analytics,92,Software Engineer
PhD,Finance,"Python, MS Office, SQL",Digital Marketing,66,ML Engineer
PhD,Commerce,Machine Learning,CFA Level 1,74,Financial Analyst
Master's,Business,"Counseling, Financial Analysis, Accounting",Google Data Analytics,69,Sales Assistant
Matric,Engineering,Communication,Digital Marketing,84,Clerk
PhD,Commerce,"Data Analysis, Financial Analysis, Counseling",Digital Marketing,60,Professor
Matric,Commerce,Data Analysis,AWS Certified,73,Professor
Bachelor's,Psychology,"Machine Learning, Python",CFA Level 1,76,Clerk
PhD,Science,"Data Analysis, Financial Analysis, Marketing",Tally ERP,77,Junior Accountant
Intermediate,Finance,"SQL, Data Analysis, Communication",CFA Level 1,60,Research Scientist
PhD,Commerce,"Python, Communication",Tally ERP,89,Professor
PhD,Commerce,"Python, Data Analysis, Communication",Creative Writing,74,Junior Accountant
Master's,Psychology,"Counseling, SQL, Machine Learning",Mental Health Basics,80,Research Scientist
PhD,Business,"SQL, Financial Analysis, Machine Learning",CFA Level 1,83,Clerk
Intermediate,Finance,"Accounting, Counseling, Machine Learning",None,68,Clerk
Bachelor's,Arts,"SQL, Machine Learning",Tally ERP,94,School Counselor
Matric,Computer Science,"Accounting, Marketing",Mental Health Basics,64,Research Scientist
Master's,Finance,"SQL, Marketing, Data Analysis",CFA Level 1,69,Marketing Executive
Master's,Arts,Python,AWS Certified,91,Software Engineer
Matric,Engineering,Data Analysis,AWS Certified,82,Data Entry Operator
PhD,Business,"Accounting, Marketing, Data Analysis",AWS Certified,83,ML Engineer
PhD,Engineering,"SQL, Machine Learning, Python",CFA Level 1,94,Financial Analyst
Master's,Science,"Marketing, MS Office",AWS Certified,61,Financial Analyst
PhD,Finance,"Data Analysis, Counseling",Google Data Analytics,70,Sales Assistant
Bachelor's,Computer Science,"Counseling, Accounting",Mental Health Basics,63,Financial Analyst
Matric,Engineering,"Counseling, MS Office",Mental Health Basics,72,Sales Assistant
PhD,Business,"Counseling, Data Analysis, Communication",Tally ERP,77,Marketing Executive
Bachelor's,Finance,Accounting,Google Data Analytics,78,Professor
PhD,Commerce,Communication,None,81,Financial Analyst
Bachelor's,Computer Science,"Python, SQL, Communication",Mental Health Basics,93,Research Scientist
Bachelor's,Engineering,"Communication, Accounting, SQL",AWS Certified,79,Professor
Master's,Engineering,Marketing,Creative Writing,95,Software Engineer
Matric,Business,Accounting,Creative Writing,83,Financial Analyst
Bachelor's,Science,MS Office,Tally ERP,86,Business Analyst
PhD,Science,MS Office,Mental Health Basics,69,Business Analyst
Matric,Arts,"SQL, Counseling, Marketing",Tally ERP,94,Business Analyst
Intermediate,Finance,MS Office,None,77,ML Engineer
Matric,Psychology,"Communication, Financial Analysis, Counseling",CFA Level 1,61,Data Entry Operator
PhD,Psychology,"Data Analysis, Financial Analysis, Communication",Creative Writing,88,Junior Accountant
Matric,Engineering,"Python, Financial Analysis, SQL",CFA Level 1,64,Clerk
PhD,Arts,Python,None,69,Junior Accountant
Matric,Commerce,Python,Mental Health Basics,61,School Counselor
PhD,Computer Science,"MS Office, Python",Google Data Analytics,87,ML Engineer
PhD,Psychology,"Financial Analysis, Python, Counseling",Mental Health Basics,78,Business Analyst
Master's,Science,"Communication, SQL, Financial Analysis",CFA Level 1,66,School Counselor
PhD,Business,"SQL, Machine Learning",None,72,Marketing Executive
Intermediate,Science,"Counseling, Accounting",Google Data Analytics,90,Junior Accountant
Bachelor's,Business,"Communication, Python, Financial Analysis",Digital Marketing,77,Software Engineer
Bachelor's,Engineering,Counseling,None,61,Professor
Master's,Business,"Data Analysis, Accounting, SQL",AWS Certified,91,ML Engineer
Bachelor's,Commerce,"MS Office, Counseling, Financial Analysis",Creative Writing,66,Sales Assistant
Master's,Commerce,"Counseling, SQL",Creative Writing,82,Clerk
Matric,Business,Python,Tally ERP,61,School Counselor
Bachelor's,Science,"SQL, Machine Learning",Mental Health Basics,94,School Counselor
Intermediate,Computer Science,"Financial Analysis, Counseling, MS Office",Google Data Analytics,73,Financial Analyst
Matric,Computer Science,"SQL, Marketing",Google Data Analytics,93,Sales Assistant
Master's,Engineering,"Accounting, SQL",Tally ERP,66,ML Engineer
Matric,Science,"Accounting, Data Analysis",Tally ERP,65,Financial Analyst
Intermediate,Engineering,Counseling,Creative Writing,70,Junior Accountant
Matric,Business,"Machine Learning, Accounting",Tally ERP,82,Professor
Matric,Business,"Communication, Accounting",CFA Level 1,82,Financial Analyst
Matric,Finance,"Financial Analysis, SQL",Tally ERP,77,Software Engineer
PhD,Computer Science,MS Office,Creative Writing,69,Sales Assistant
PhD,Computer Science,Financial Analysis,Mental Health Basics,66,Research Scientist
Matric,Commerce,Counseling,Mental Health Basics,79,Sales Assistant
PhD,Psychology,"Accounting, Machine Learning",Mental Health Basics,87,School Counselor
Bachelor's,Business,Accounting,AWS Certified,89,School Counselor
PhD,Engineering,Accounting,Mental Health Basics,80,Clerk
Bachelor's,Arts,"MS Office, Data Analysis",Google Data Analytics,60,School Counselor
Bachelor's,Finance,SQL,Mental Health Basics,82,ML Engineer
Master's,Engineering,"Communication, Machine Learning, Python",Tally ERP,90,School Counselor
Bachelor's,Business,Financial Analysis,Tally ERP,64,Professor
Master's,Business,"Accounting, Financial Analysis",Google Data Analytics,70,ML Engineer
PhD,Science,"Machine Learning, Data Analysis, Communication",Digital Marketing,95,Sales Assistant
Bachelor's,Finance,"Counseling, Communication, Financial Analysis",Tally ERP,84,ML Engineer
Master's,Finance,"Counseling, Data Analysis, Marketing",Tally ERP,62,School Counselor
Intermediate,Science,Counseling,CFA Level 1,92,Data Entry Operator
Bachelor's,Commerce,"Marketing, Communication, SQL",Mental Health Basics,71,Junior Accountant
Matric,Engineering,"Python, Communication",None,71,ML Engineer
Intermediate,Commerce,Financial Analysis,Google Data Analytics,91,Financial Analyst
Intermediate,Finance,Counseling,Digital Marketing,73,Junior Accountant
PhD,Engineering,"Data Analysis, SQL",AWS Certified,82,Professor
Intermediate,Psychology,"Marketing, Data Analysis",Digital Marketing,84,Software Engineer
PhD,Engineering,"Machine Learning, Python",Tally ERP,67,Clerk
PhD,Computer Science,"Counseling, Machine Learning",Creative Writing,77,Sales Assistant
Matric,Science,"Machine Learning, Marketing",Tally ERP,79,ML Engineer
Bachelor's,Arts,"Communication, Marketing",AWS Certified,74,Professor
Master's,Finance,"Communication, Counseling, Financial Analysis",Digital Marketing,61,Business Analyst
Bachelor's,Commerce,"Communication, Data Analysis",AWS Certified,91,Research Scientist
Matric,Finance,"Accounting, Financial Analysis",Digital Marketing,81,Software Engineer
Intermediate,Business,"MS Office, SQL, Counseling",Google Data Analytics,77,Data Entry Operator
Bachelor's,Commerce,"Python, MS Office, Counseling",Digital Marketing,66,Marketing Executive
Matric,Science,Financial Analysis,CFA Level 1,68,Sales Assistant
Matric,Finance,"Data Analysis, SQL",Google Data Analytics,61,Clerk
Master's,Finance,"SQL, MS Office",Mental Health Basics,95,Software Engineer
Master's,Business,"Communication, Accounting",Digital Marketing,73,Junior Accountant
PhD,Science,"Machine Learning, MS Office",Digital Marketing,84,Software Engineer
Intermediate,Psychology,"SQL, Communication, Counseling",Digital Marketing,61,Clerk
